😂,0x1f602,\U0001f602,سخر
❤,0x2764,\U00002764,حب
♥,0x2665,\U00002665,حب
😍,0x1f60d,\U0001f60d,حب
😭,0x1f62d,\U0001f62d,بكا
😘,0x1f618,\U0001f618,قبلة
😊,0x1f60a,\U0001f60a,خجل
👌,0x1f44c,\U0001f44c,روعة
💕,0x1f495,\U0001f495,حب
👏,0x1f44f,\U0001f44f,صفق
😁,0x1f601,\U0001f601,قلق
☺,0x263a,\U0000263a,خجل
♡,0x2661,\U00002661,حب
👍,0x1f44d,\U0001f44d,جيد
😩,0x1f629,\U0001f629,تنهد
🙏,0x1f64f,\U0001f64f,صلا
✌,0x270c,\U0000270c,نصر
 😏,0x1f60f,\U0001f60f,سخر
😉,0x1f609,\U0001f609,غمز
🙌,0x1f64c,\U0001f64c,كفك
🙈,0x1f648,\U0001f648,خجل
💪, 0x1f4aa,\U000x1f4aa,قوة
😄, 0x1f604,\U000x1f604,ضحك
😒,0x1f612,\U0001f612,ازعاج
💃,0x1f483,\U0001f483,رقص
💖,0x1f496,\U0001f496,قلب
😃,0x1f603,\U0001f603,ضحك
😔,0x1f614,\U0001f614,حزن
😱,0x1f631,\U0001f631,دهش خوف
🎉,0x1f389,\U0001f389,حفله
😜,0x1f61c,\U0001f61c,سخر
🌸,0x1f338,\U0001f338,زهرة
💜,0x1f49c,\U0001f49c,قلب
💙,0x1f499,\U0001f499,قلب
✨,0x2728,\U00002728,نجمة
😳,0x1f633,\U0001f633,دهش 
💗,0x1f497,\U0001f497,قلب
☀,0x2600,\U00002600,شمس
😡,0x1f621,\U0001f621,حمق
 😎,0x1f60e,\U0001f60e,واثق
 😢,0x1f622,\U0001f622,بكا
 💋,0x1f48b,\U0001f48b,قبلة
😋,0x1f60b,\U0001f60b,سخر
 🙊,0x1f64a,\U0001f64a,خجل
😴,0x1f634,\U0001f634,نوم
🎶,0x1f3b6,\U0001f3b6,موسيقا
💞 ,0x1f49e,\U0001f49e,قلب
😌,0x1f60c,\U0001f60c,واثق
🔥,0x1f525,\U0001f525,نار
 💯,0x1f4af,\U0001f4af,صح
🔫,0x1f52b,\U0001f52b,مسدس
💛,0x1f49b,\U0001f49b,قلب
💚,0x1f49a,\U0001f49a,قلب
 ♫,0x266b,\U0000266b,موسيقا
 😞,0x1f61e,\U0001f61e,حزن
😆,0x1f606,\U0001f606,سخر
😝,0x1f61d,\U0001f61d,سخر
 😪,0x1f62a,\U0001f62a,حزن
😫,0x1f62b,\U0001f62b,حزن
 👊,0x1f44a,\U0001f44a,ضرب
😀,0x1f600,\U0001f600,سعد
 😚,0x1f61a,\U0001f61a,قبلة
 😻,0x1f63b,\U0001f63b,حب
💘,0x1f498,\U0001f498,حب
🐓,0x1f413,\U0001f413,دجاج
 👋,0x1f44b,\U0001f44b,لوح
 🎊, 0x1f38a,\U000x1f38a,حفلة
❄,0x2744,\U00002744,ثلج
😥,0x1f625,\U0001f625,بكا
 😕,0x1f615,\U0001f615,حزن
💔,0x1f494,\U0001f494,كره
 😤,0x1f624,\U0001f624,حمق
😈,0x1f608,\U0001f608,شيطان
✈,0x2708,\U00002708,طيارة
😰,0x1f630,\U0001f630,خوف بكا
😹,0x1f639,\U0001f639,سخر
😠,0x1f620,\U0001f620,حمق
 😓,0x1f613,\U0001f613,حزن
😣,0x1f623,\U0001f623,حزن
😨,0x1f628,\U0001f628,خوف 
😖, 0x1f616,\U000x1f616,خوف 
💤,0x1f4a4,\U0001f4a4,نوم
💓,0x1f493,\U0001f493,قلب
👎,0x1f44e,\U0001f44e,سيء
✔, 0x2714,\U000x2714,صح
😷,0x1f637,\U0001f637,مرض
🙋,0x1f64b,\U0001f64b,تحية
 💩, 0x1f4a9,\U000x1f4a9,براز
 🎵,0x1f3b5,\U0001f3b5,موسيقا
😛, 0x1f61b,\U000x1f61b,سخر
😬, 0x1f62c,\U000x1f62c,قلق
👯,0x1f46f,\U0001f46f,رقص
😙,0x1f619,\U0001f619,قبلة
 💏, 0x1f48f,\U000x1f48f,قبلة حب
🔪,0x1f52a,\U0001f52a,سكينة
☝, 0x261d,\U000x261d,اول
 😇, 0x1f607,\U000x1f607,ملاك
😿,0x1f63f,\U0001f63f,بكا
💣, 0x1f4a3,\U000x1f4a3,قنبلة
😧,0x1f627,\U0001f627,حزن
😮, 0x1f62e,\U000x1f62e,دهش
🙀, 0x1f640,\U000x1f640,دهش خوف
😽,0x1f63d,\U0001f63d,قبلة
😯, 0x1f62f,\U000x1f62f,دهش
 💇, 0x1f487,\U000x1f487,قص شعر
😗, 0x1f617,\U000x1f617,قبلة
